Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
123,toxin_antitoxin_theory_tetanus_guinea pigs,"[7, 66]",66,theory_immunity_ehrlich_microorganisms foreign_century pasteur,7,tetanus_toxin_antitoxin_guinea pigs_toxoid,0.9630890819502147
122,cowpox_smallpox_variolation_negri_lymph,"[0, 78, 81]",81,negri_lymph_cowpox_animal vaccination_arm,107,smallpox_variolation_cowpox_inoculation_cowpox smallpox,0.9595551417172759
121,influenza_burnet_magill_eggs_mutated,"[13, 86]",13,influenza_laidlaw_embryonated eggs_embryonated_chenoweth,86,burnet_magill_influenza_mutated_produced,0.9547739244715681
120,meningococcus_nity meningococcus_group_immu- nity_immunity immu-,"[65, 90]",65,meningococcus_nity meningococcus_immu- nity_immunity immu-_immu-,90,meningococcal_got_got underway_serogroup charide_gococcal disease,0.9546844681510532
119,influenzae_capsular_bacterial_immunological_type b,"[6, 84]",84,immunological_bacterial_protein antigens_developed bacterial_sisting,6,influenzae_type b_b_influenzae type_capsular,0.9529759233324331
118,pertussis_cough_whooping cough_whooping_pertussis vaccine,"[4, 59]",4,pertussis_pertussis vaccine_acellular_acellular pertussis_cell tussis,59,whooping cough_cough_whooping_power plagues_bacteriology,0.9528233700665193
117,plague_bubonique_haffkine_plague vaccine_bubonic plague,"[12, 85]",85,plague_haffkine_plague vaccine_killed plague_vaccine haffkine,12,bubonique_révaccination ouvriers_bull pasteur_prendre_la,0.9527088888734632
116,genome_candidates_reverse_allows_identification,"[47, 48]",47,candidates_vaccine candidates_genome sequencing_serogroup_factor,48,allows_identification_genome_proteins_vaccinology,0.9482917992602223
115,sac_mountain_rocky mountain_mountain spotted_rocky,"[40, 64]",40,vaccinology_plumb_networks_anticholera_political,64,mountain spotted_mountain_rocky_rocky mountain_sac,0.9460876248447964
114,lyme_lyme disease_disease vaccine_outer surface_ospa,"[27, 49, 63]",49,lyme disease_treatment_lyme_inter- national_successful treatment,92,lyme_disease vaccine_outer surface_ospa_outer,0.9440698907699606
113,r_neuse_neuse r_d’inoculations_acad zoeller,"[5, 19]",5,tétanique_acad zoeller_zoeller_-_acad,19,d’inoculations_neuse r_neuse_r_roux,0.9439634926889247
112,serum therapy_remarkable_therapy_ehrlich_behring,"[52, 80]",52,vaccine s49_therapy vaccine_s49_tuberculosis fleming_fleming recent,80,remarkable_behring_infective_remarkable men_men,0.9439576021566747
111,adapted_cold adapted_cold_influenza vaccine_influenza,"[25, 36, 53]",105,adapted_cold adapted_cold_attenuated cold_strains,53,influenza vaccine_safe_influenza_influenza disease_inclusion,0.9401534838170038
110,sabin_polio_polio vaccine_salk_placebo,"[69, 73]",69,placebo_salk_trial_polio vaccine_mentor,73,sabin_attenuated polio_sabin live_russian_polio,0.9352601234125739
109,tissues_cultures_cultures human_robbins_lansing,"[17, 76]",76,polio_weller_enders weller_research polio_weller robbins,17,tissues_cultures human_fc_robbins fc_cultures,0.929715394875196
108,chicken_sheep_toussaint_chicken cholera_anthrax,"[15, 32]",32,chicken_chickens_chicken cholera_acidic_bouillon,15,sheep_toussaint_anthrax_goat_nonvaccinated,0.9278767134956015
